url,type_bien,titre,prix,surface_habitable,surface_terrain,pieces,ville,cp,dpe,ges,features,description,prix_m2,lat,lon
https://www.etreproprio.com/immobilier-24051190-vente-maison-115m-a-eysines-eysines,Maison,Maison 115m² à eysines,499000.0,115.0,320.0,5.0,Eysines,33320,,,"parking, jardin","Découvrez cette maison récente de 115 m² située dans une impasse calme d'Eysines, à proximité immédiate des transports, commerces et commodités. Construite en 2016 et toujours sous garantie décennale, elle offre au rez-de-chaussée une entrée, un grand séjour lumineux, une cuisine et une suite parentale neuves (2022), un cellier, un dégagement avec rangements, des WC indépendants ainsi qu'un accès direct au garage. À l'étage, trois chambres confortables et leur grand dressing ainsi qu'une une salle de bain et un dégagement avec rangements complètent l'ensemble. Vous profiterez également d'un grand jardin de 240 m² et de deux terrasses pour vos moments de détente, ainsi que d'une place de parking privée. Une opportunité rare alliant confort, modernité et tranquillité. Climatisation réversible et chaudière au gaz pour le confort thermique. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr Prix de vente : 499 000 ¤ Honoraires charge vendeur Contactez votre conseiller SAFTI : Grégoire COULONGES, Tél. : [Coordonnées masquées], E-mail : [Coordonnées masquées] - EI - Agent commercial immatriculé au RSAC de BORDEAUX sous le numéro 909 757 676. Informations LOI ALUR : Honoraires charge vendeur. (gedeon_26118_32326027)",4339.130434782609,44.8943079,-0.6485614
https://www.etreproprio.com/immobilier-23780679-vente-maison-91m-a-pessac-pessac,Maison,Maison 91m² à pessac,370000.0,91.0,,4.0,Pessac,33600,C,C,balcon/terrasse,"Iad France - Adrien Bounaud vous propose : EXCLUSIF ! Maison contemporaine de 2021 - 4 pièces (3 chambres) Vous rêvez d'une maison moderne, sans travaux ? Posez vos valises, celle-ci est faite pour vous ! Située à proximité immédiate du Parc du Bourgailh, des transports en commun et à moins de 10 minutes des gares de Pessac et Cestas Gazinet, cette maison récente allie emplacement privilégié, fonctionnalité et qualité de vie. Les principaux atouts de cette maison : - Construction de 2021, encore sous garantie décennale - Grande pièce de vie de plus de 41 m² avec cuisine aménagée et équipée, donnant sur une terrasse et un jardin privatif - 3 chambres spacieuses avec placards à l'étage - 1 salle de bain (à l'étage) et 1 salle d'eau (en rdc) - 1 WC en rdc et 1 à l'étage pour plus de confort - Volets électriques avec fermeture individuelle ou centralisée - Finitions qualitatives et modernes Le tout dans un Environnement sécurisé Contactez moi pour plus d'informations et / ou organiser une visite ! La presente annonce immobiliere vise 10 lots situés dans une copropriété de 16 lots au total et ne faisant l'objet d'aucune procédure en cours citée à l'article L. 721-1 du code de la construction et de l'habitation. Montant moyen mensuel de charges déclaré par le vendeur : 40¤ par mois (soit 480 ¤ annuel). Honoraires d'agence à la charge du vendeur. Information d'affichage énergétique sur ce bien : classe ENERGIE C indice 69 et classe CLIMAT C indice 13. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr. La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de M Adrien Bounaud mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de BORDEAUX sous le numéro 494506777, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS. Informations LOI ALUR : Soumis au régime de copropriété. Nombre de lots : 16. Quote part annuelle(moyenne) : 480 euros. Honoraires charge vendeur. (gedeon_6727_32176229)",4065.934065934066,44.7856935,-0.6827106
https://www.etreproprio.com/immobilier-24050542-vente-maison-90m-a-bordeaux-bordeaux,Maison,Maison 90m² à bordeaux,518000.0,90.0,100.0,5.0,Bordeaux,33300,B,A,"balcon/terrasse, jardin","Iad France - Vincent Roche vous propose : Bordeaux - Bacalan  Maison récente clé en main à deux pas du tram B (New York) À proximité immédiate du tram B New York, des commerces (halles) et des écoles, découvrez cette maison contemporaine construite en 2019, encore sous garantie décennale et dommage ouvrage. Développant environ 90 m² sur deux niveaux, elle offre une organisation fonctionnelle et des prestations soignées. Au rez-de-chaussée, l'entrée dessert directement un garage permettant stationnement ou espace de rangement. Elle s'ouvre sur une belle pièce de vie lumineuse avec cuisine ouverte, aménagée et équipée, donnant accès à un extérieur d'environ 45 m², idéal pour les moments de détente. À l'étage, un palier distribue trois chambres, dont une suite parentale avec salle d'eau privative, une salle de bains ainsi qu'un WC indépendant. Maison clé en main, entretenue avec soin, aux prestations de qualité, dans un environnement pratique et recherché de Bordeaux-Bacalan. Un bien rare sur le secteur, idéal pour une vie de famille Honoraires d'agence à la charge du vendeur. Information d'affichage énergétique sur ce bien : classe ENERGIE B indice 74 et classe CLIMAT A indice 2. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr. La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de M Vincent Roche mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de Bordeaux sous le numéro 849540703, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS. Informations LOI ALUR : Honoraires charge vendeur. (gedeon_6727_32331597)",5755.555555555556,44.8829908,-0.5568152
https://www.etreproprio.com/immobilier-24051207-vente-maison-80m-a-pessac-pessac,Maison,Maison 80m² à pessac,220000.0,80.0,108.0,3.0,Pessac,33600,,,"parking, jardin","Située dans la commune très prisée de Pessac (33600), cette maison de 80 m² sur un terrain de 108 m² offre un emplacement idéal à proximité de toutes les commodités. Le quartier de Bellegrave est réputé pour sa convivialité et sa praticité, avec ses commerces et services à quelques pas du domicile, offrant ainsi un cadre de vie agréable. La maison se compose de 3 pièces dont 2 chambres, avec une cour de 30 m² et un cellier attenant. Au rez-de-chaussée, on trouve une véranda, une pièce de vie, une cuisine, une chambre, ainsi qu'une salle de bain avec WC. L'étage propose une chambre / bureau avec salle d'eau et WC, ainsi qu'un accès aux combles. À noter que d'importants travaux sont à prévoir, notamment au niveau de l'électricité. Cette propriété offre un potentiel intéressant pour ceux en quête d'un projet de rénovation dans un secteur dynamique et attractif de Pessac. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr Prix de vente honoraires d'agence inclus : 220 000 ¤ Prix de vente hors honoraires d'agence : 209 000 ¤ Honoraires charge acquéreur : 11 000 ¤ soit 5,26 % TTC de la valeur du bien hors honoraires Contactez votre conseiller SAFTI : Alan LEGER, Tél. : [Coordonnées masquées], E-mail : [Coordonnées masquées] - EI - Agent commercial immatriculé au RSAC de BORDEAUX sous le numéro 943606822. Informations LOI ALUR : Honoraires : 5.26 % TTC charge acquéreur. Prix hors honoraires : 209 000 ¤. (gedeon_26118_32326047)",2750.0,44.7856935,-0.6827106
https://www.etreproprio.com/immobilier-24051155-vente-maison-175m-a-pessac-pessac,Maison,Maison 175m² à pessac,674900.0,175.0,727.0,6.0,Pessac,33600,D,D,"parking, balcon/terrasse, jardin, ascenseur, piscine, accès handicapé","Coup de coeur assuré pour cette belle maison de maître, lumineuse, avec le cachet de l'ancien, entièrement rénovée avec goût, le tout sur un beau jardin paysagé de + de 700 m². Vous serez séduit par son entrée en pierre apparente, sa grande pièce de vie lumineuse avec cuisine ouverte neuve, poêle à bois, ses 5 chambres dont 3 suites parentales avec douche à l'italienne - baignoire et ses 2 WC indépendants. À l'extérieur, vous pourrez profiter d'un beau jardin avec piscine, d'un pool house avec cuisine d'été et d'une serre en verre. Un carport et 3 places de stationnement complètent le tout. Les +: Lumineuse, non mitoyenne, rénovée avec goût, esprit château, vitraux, proche commerces, Tram et gare. À découvrir sans plus tarder. Vous pouvez me joindre 7 jours sur 7, de 9h à 20h. Ne pas se fier à la localisation du bien sur certains sites. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr Prix de vente : 674 900 ¤ Honoraires charge vendeur Contactez votre conseiller SAFTI : Christophe JOIE, Tél. : [Coordonnées masquées], E-mail : [Coordonnées masquées] - EI - Agent commercial immatriculé au RSAC de BORDEAUX sous le numéro 881 549 489. Informations LOI ALUR : Honoraires charge vendeur. (gedeon_26118_32325986)",3856.5714285714284,44.7856935,-0.6827106
https://www.etreproprio.com/immobilier-24047103-vente-gradugnan-centre-gradignan,,Gradugnan centre,500000.0,110.0,,4.0,Gradignan,33170,,,"parking, balcon/terrasse","Idéalement située au centre de Gradignan, maison contemporaine de ville comprenant une entrée, une pièce de vie vitrée avec cuisine équipée, un WC. A l'étage, 3 grandes chambres dont une suite parentale, salle de bains complète et WC.  Terrasse, jardinet et piscine au sel.",4545.454545454545,44.7680587,-0.6168636
https://www.etreproprio.com/immobilier-24051518-vente-maison-160m-a-bordeaux-bordeaux,Maison,Maison 160m² à bordeaux,560000.0,160.0,99.0,5.0,Bordeaux,33000,D,B,jardin,"Située dans le quartier historique des Chartrons, cette maison de ville sur 2 niveaux sans extérieur car une terrasse au 1er a été transformée en chambre, offre un cadre de vie dynamique et agréable. Proche de tout et Idéalement située, cette maison propose un accès rapide à une variété de commerces, restaurants et services, offrant ainsi un quotidien pratique, facile et très agréable au Chartrons. Cette maison de 6 pièces, répartie sur 2 niveaux, se compose de 3 chambres, 2 salles de bain, 2 toilettes, 2 espace de vie spacieux et un bureau avec vitrine sur rue, ancien garage voiture. Avec une surface habitable de 160 m², cette propriété saura séduire par ses volumes généreux et son agencement. Parfait pour une famille ou pour ceux en quête d'un confortable espace de vie, ce bien offre un cadre de vie agréable dans un environnement urbain et dynamique. Des travaux intérieurs sont a prévoir. Possibilité de réhausse et / ou de division en commerce et T3 habitation. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr Prix de vente : 560 000 ¤ Honoraires charge vendeur Contactez votre conseiller SAFTI : Joachim ROUX, Tél. : [Coordonnées masquées], E-mail : [Coordonnées masquées] - EI - Agent commercial immatriculé au RSAC de BORDEAUX sous le numéro 490 405 321. Informations LOI ALUR : Honoraires charge vendeur. (gedeon_26118_32331262)",3500.0,44.8391049,-0.5814266
https://www.etreproprio.com/immobilier-24049033-vente-echoppe-double-merignac-arlac-merignac,,Echoppe double  mérignac arlac,493500.0,114.0,293.0,4.0,Merignac,33700,D,D,"balcon/terrasse, jardin","Echoppe double de plain-pied d'env. 98m² avec dépendance de 17 m².  Située à Mérignac Arlac à seulement 600 m du tram ""François Mitterrand"" et à proximité immédiate du CHU de Bordeaux.  Cette charmante maison offre un cadre de vie calme et lumineux.  Elle comprend une entrée, une pièce de vie avec cuisine ouverte , 3 chambres, une salle de bain, une salle d'eau ainsi qu'une baunderie. En plus, une dépendance d'env. 17 m² complète ce bien, offrant de multiples possibilités d'aménagement. Beau jardin. (5.00 % honoraires TTC à la charge de l'acquéreur.)",4328.9473684210525,44.8313054,-0.6794484
https://www.etreproprio.com/immobilier-24051453-vente-maison-125m-a-bordeaux-bordeaux,Maison,Maison 125m² à bordeaux,379000.0,125.0,181.0,4.0,Bordeaux,33800,,,"balcon/terrasse, jardin","Exclusivité : située entre le quartier Nansouty et Saint-Michel, proche de toutes les commodités et au calme, venez découvrir cette maison de 125 m² à rénover entièrement, avec trois chambres et un grand jardin de 90 m². Au rez-de-chaussée, la maison dispose d'une entrée, d'un séjour avec parquet et cheminée, d'une salle à manger, d'un coin cuisine, de rangements, d'un Wc et du grand jardin. Au premier étage, il est possible d'installer trois chambres avec une salle de bain, un Wc et des espaces à aménager type dressing, avec un deuxième accès au jardin via un escalier extérieur. Les points forts : L'emplacement, le jardin, les possibilités. Contactez-moi pour en discuter au [Coordonnées masquées], Romain Telera Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr Prix de vente : 379 000 ¤ Honoraires charge vendeur Contactez votre conseiller SAFTI : Romain TELERA, Tél. : [Coordonnées masquées], E-mail : [Coordonnées masquées] - EI - Agent commercial immatriculé au RSAC de BORDEAUX sous le numéro 753 962 356. Informations LOI ALUR : Honoraires charge vendeur. (gedeon_26118_32330674)",3032.0,44.8240407,-0.558956
https://www.etreproprio.com/immobilier-24048027-vente-maison-140m-a-bordeaux-bordeaux,Maison,Maison 140m² à bordeaux,202500.0,140.0,151.0,2.0,Bordeaux,33800,,,jardin,Exclusivité CABINET BEDIN - BORDEAUX-SACRE COUR . Grande maison pierre sur deux niveau avec cave rue Pelleport donnant sur beau jardin . A rénové entièrement VENDU VIDE ET LIBRE D'OCCUPATION! RACHAT D'UNE VENTE VIAGERE 223300 EUROS ET UNE RENTE MENSUEL DE 480 EUROS!. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www. georisques. gouv. fr.,1446.4285714285713,44.8240407,-0.558956
